"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"6","","0","Бюджет и Накопления","8","0","Переводы и накопления","0"
"0","","0","","24","2","","0"
"0","","0","Управление счетами","2","0","Создание дебетового счета","0"
"2","","0","Бюджет и Счета","2","0","Транзакции - Расход","0"
"0","","0","Бюджет и Счета","2","0","Модификация дебетовых счетов","0"
"0","","0","Бюджет и Счета","11","0","Управление дебетовыми счетами","0"
"0","","1","Бюджет и Счета","2","0","Визуальное тестирование (Скриншоты)","0"
